"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\.eslintrc.js", "JavaScript", 0, 24, 0, 0, 0, 1, 25
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\README.md", "Markdown", 0, 0, 59, 0, 2, 25, 86
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\nest-cli.json", "JSON", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\ormconfig.json", "JSON", 13, 0, 0, 0, 5, 0, 18
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\package-lock.json", "JSON", 8283, 0, 0, 0, 0, 1, 8284
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\package.json", "JSON", 72, 0, 0, 0, 6, 0, 78
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\administrador.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 3, 18
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\administrador.module.ts", "TypeScript", 0, 0, 0, 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\controller\administrador.controller.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\controller\administrador.controller.ts", "TypeScript", 0, 0, 0, 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\service\administrador.service.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 5, 19
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\administrador\service\administrador.service.ts", "TypeScript", 0, 0, 0, 3, 0, 2, 5
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\alumno.entity.ts", "TypeScript", 0, 0, 0, 31, 0, 7, 38
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\alumno.module.ts", "TypeScript", 0, 0, 0, 13, 0, 3, 16
"c:\Users\Isaac\Documents\ESCOM\Ing de Software\proyecto\ing-software-backend\src\alumno\controller\alumno.controller.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 5, 19
